,降水量,気温.1,気温.2,風向・風速,日照 時間 (h,day,mean
1997-01-01,0.0,12.7,2.1,0.9,3.0,,
1997-01-02,0.0,16.8,2.8,2.4,4.2,,
1997-01-03,0.0,10.8,-0.2,2.2,8.0,,
1997-01-04,0.0,9.5,-1.5,1.1,8.0,,
1997-01-05,24.0,8.5,-5.7,1.2,5.7,,
1997-01-06,26.0,11.8,0.3,2.1,7.6,,
1997-01-07,0.0,11.1,-3.7,0.8,7.7,,
1997-01-08,0.0,8.3,-2.5,1.4,4.8,,
1997-01-09,0.0,7.8,-5.0,0.5,7.9,,
1997-01-10,0.0,9.0,-5.1,0.7,5.3,,
1997-01-11,0.0,8.5,-5.9,0.9,6.7,,
1997-01-12,0.0,7.6,-4.1,1.5,5.9,,
1997-01-13,0.0,8.1,-3.4,1.2,7.7,,
1997-01-14,0.0,11.3,-4.6,0.7,7.3,,
1997-01-15,0.0,9.1,-3.4,1.0,8.2,,
1997-01-16,0.0,6.9,-4.9,0.7,0.4,,
1997-01-17,0.0,10.5,-5.1,0.9,8.1,,
1997-01-18,0.0,14.1,-1.5,1.3,7.1,,
1997-01-19,0.0,7.4,-3.7,1.5,8.2,,
1997-01-20,0.0,10.8,-2.7,0.9,8.5,,
1997-01-21,0.0,14.2,-2.6,1.5,6.5,,
1997-01-22,0.0,0.3,-3.5,2.7,7.2,,
1997-01-23,0.0,8.8,-3.9,1.0,8.8,,
1997-01-24,5.0,10.9,-2.5,0.8,3.6,,
1997-01-25,1.0,7.2,-2.4,2.1,8.4,,
1997-01-26,0.0,9.8,-3.1,1.7,7.7,,
1997-01-27,0.0,11.1,-6.3,0.9,8.8,,
1997-01-28,0.0,9.7,-3.7,1.3,7.9,,
1997-01-29,0.0,9.7,-3.0,1.6,7.5,,
1997-01-30,0.0,5.8,-5.0,1.4,8.1,,
1997-01-31,0.0,6.6,-7.3,0.7,8.3,,
1997-02-01,0.0,9.4,-5.0,0.8,7.7,,
1997-02-02,0.0,7.3,-5.9,0.8,6.5,,
1997-02-03,23.0,5.3,1.7,2.2,0.0,,
1997-02-04,0.0,7.3,-3.2,2.8,9.3,,
1997-02-05,0.0,7.8,-4.8,0.8,9.0,,
1997-02-06,1.0,7.0,-0.5,1.0,1.1,,
1997-02-07,0.0,8.8,-3.7,1.0,7.4,,
1997-02-08,0.0,9.2,-0.5,1.3,0.4,,
1997-02-09,0.0,10.2,-1.7,1.0,8.3,,
1997-02-10,0.0,10.6,1.4,1.8,3.3,,
1997-02-11,7.0,10.7,0.2,2.5,1.9,,
1997-02-12,0.0,8.9,-2.6,1.3,5.4,,
1997-02-13,0.0,7.3,-6.0,0.9,8.3,,
1997-02-14,0.0,8.5,-6.1,0.7,7.8,,
1997-02-15,0.0,10.9,-4.2,1.0,1.2,,
1997-02-16,8.0,10.0,1.9,0.9,0.0,,
1997-02-17,0.0,10.8,-1.4,1.2,8.2,,
1997-02-18,0.0,8.8,-1.2,1.7,8.0,,
1997-02-19,0.0,6.7,-2.1,2.0,8.9,,
1997-02-20,0.0,12.9,-3.6,1.1,9.9,,
1997-02-21,0.0,10.6,-3.4,3.7,7.4,,
1997-02-22,0.0,3.7,-5.6,3.3,9.4,,
1997-02-23,0.0,8.4,-7.5,0.8,10.1,,
1997-02-24,0.0,11.8,-3.8,0.9,9.7,,
1997-02-25,0.0,15.6,-2.8,1.0,8.6,,
1997-02-26,0.0,16.9,4.1,1.8,9.0,,
1997-02-27,0.0,10.4,0.5,1.5,6.7,,
1997-02-28,0.0,13.6,1.8,2.0,1.4,,
1997-03-01,0.0,19.6,2.7,2.6,3.6,,
1997-03-02,0.0,7.6,-0.1,1.2,0.0,,
1997-03-03,2.0,5.4,1.2,1.3,0.0,,
1997-03-04,0.0,10.5,-0.4,1.5,6.5,,
1997-03-05,0.0,16.4,-2.5,1.0,9.1,,
1997-03-06,0.0,15.8,0.1,2.4,4.4,,
1997-03-07,0.0,21.0,10.7,2.5,9.8,,
1997-03-08,2.0,14.7,2.2,1.8,4.7,,
1997-03-09,0.0,13.5,-2.3,1.4,10.4,,
1997-03-10,0.0,11.0,-4.8,1.6,8.1,,
1997-03-11,0.0,20.7,1.3,1.8,10.4,,
1997-03-12,0.0,13.7,-1.2,1.3,10.7,,
1997-03-13,0.0,11.1,-1.6,1.9,9.7,,
1997-03-14,0.0,17.1,3.7,2.0,8.0,,
1997-03-15,8.0,8.7,5.8,3.0,0.0,,
1997-03-16,20.0,6.8,2.7,2.9,0.0,,
1997-03-17,0.0,8.5,1.5,2.7,10.7,,
1997-03-18,0.0,9.7,-0.7,1.8,9.7,,
1997-03-19,0.0,10.5,3.5,2.8,2.9,,
1997-03-20,0.0,10.4,1.0,1.8,8.1,,
1997-03-21,0.0,13.8,-0.3,1.5,6.7,,
1997-03-22,14.0,9.4,7.5,2.1,0.0,,
1997-03-23,3.0,7.3,3.0,2.3,0.0,,
1997-03-24,0.0,9.0,-2.0,2.4,9.8,,
1997-03-25,0.0,15.8,-4.6,0.9,10.9,,
1997-03-26,0.0,13.2,1.8,2.6,7.5,,
1997-03-27,39.0,11.5,5.6,3.1,0.0,,
1997-03-28,0.0,15.9,-0.4,1.5,10.1,,
1997-03-29,11.0,18.3,7.3,2.3,1.7,,
1997-03-30,30.0,23.5,7.5,2.3,6.3,,
1997-03-31,0.0,12.7,5.1,1.5,3.6,,
1997-04-01,0.0,13.9,2.8,1.3,9.0,,
1997-04-02,0.0,12.9,7.3,2.0,0.5,,
1997-04-03,6.0,11.2,8.9,2.5,0.0,,
1997-04-04,1.0,15.7,9.3,1.3,1.0,,
1997-04-05,9.0,12.5,11.5,2.3,0.0,,
1997-04-06,24.0,13.7,10.9,3.3,0.0,,
1997-04-07,16.0,16.8,9.8,2.2,0.1,,
1997-04-08,0.0,20.6,8.4,1.6,10.4,,
1997-04-09,0.0,19.4,12.1,2.0,4.7,,
1997-04-10,0.0,20.1,7.1,1.8,10.9,,
1997-04-11,0.0,20.6,4.9,1.9,10.0,,
1997-04-12,0.0,18.2,2.6,1.3,11.2,,
1997-04-13,0.0,22.2,2.4,1.4,11.1,,
1997-04-14,1.0,17.3,5.2,2.0,8.8,,
1997-04-15,0.0,11.0,8.2,2.8,0.0,,
1997-04-16,2.0,11.9,7.4,2.1,7.8,,
1997-04-17,0.0,16.4,7.0,1.6,4.2,,
1997-04-18,0.0,22.2,7.2,1.6,3.1,,
1997-04-19,4.0,14.9,7.7,2.3,6.0,,
1997-04-20,0.0,15.5,7.3,1.8,5.5,,
1997-04-21,0.0,17.9,6.4,1.5,2.9,,
1997-04-22,6.0,19.1,11.0,1.1,0.6,,
1997-04-23,3.0,13.0,2.8,1.5,0.0,,
1997-04-24,0.0,16.3,0.2,1.3,8.8,,
1997-04-25,0.0,20.1,0.9,1.8,12.0,,
1997-04-26,0.0,21.1,2.7,1.5,11.7,,
1997-04-27,0.0,24.5,4.6,0.9,11.3,,
1997-04-28,10.0,19.2,10.2,1.3,0.0,,
1997-04-29,0.0,26.2,12.5,1.2,8.3,,
1997-04-30,3.0,24.9,13.0,1.4,3.3,,
