,flo_in,sed_in
2001-01-01,9.93,.381E+04
2001-01-02,9.90,.381E+04
2001-01-03,9.91,.380E+04
2001-01-04,9.91,.380E+04
2001-01-05,9.89,.377E+04
2001-01-06,9.89,.377E+04
2001-01-07,9.88,.375E+04
2001-01-08,9.89,.375E+04
2001-01-09,14.8,.650E+04
2001-01-10,34.1,.166E+05
2001-01-11,9.80,.374E+04
2001-01-12,9.79,.374E+04
2001-01-13,9.79,.374E+04
2001-01-14,9.77,.374E+04
2001-01-15,9.74,.375E+04
2001-01-16,9.72,.371E+04
2001-01-17,9.69,.371E+04
2001-01-18,9.66,.366E+04
2001-01-19,9.65,.365E+04
2001-01-20,21.5,.994E+04
2001-01-21,24.1,.114E+05
2001-01-22,9.60,.355E+04
2001-01-23,9.53,.354E+04
2001-01-24,9.50,.354E+04
2001-01-25,37.1,.181E+05
2001-01-26,54.0,.257E+05
2001-01-27,127.,.599E+05
2001-01-28,11.0,.433E+04
2001-01-29,9.68,.355E+04
2001-01-30,9.52,.351E+04
2001-01-31,9.51,.350E+04
2001-02-01,13.0,.552E+04
2001-02-02,9.49,.350E+04
2001-02-03,9.46,.351E+04
2001-02-04,9.46,.351E+04
2001-02-05,9.45,.351E+04
2001-02-06,9.44,.351E+04
2001-02-07,67.8,.314E+05
2001-02-08,9.50,.351E+04
2001-02-09,9.49,.351E+04
2001-02-10,9.47,.351E+04
2001-02-11,9.47,.352E+04
2001-02-12,9.51,.352E+04
2001-02-13,9.48,.352E+04
2001-02-14,9.50,.355E+04
2001-02-15,9.49,.352E+04
2001-02-16,9.47,.352E+04
2001-02-17,9.50,.352E+04
2001-02-18,9.49,.352E+04
2001-02-19,9.50,.355E+04
2001-02-20,9.51,.356E+04
2001-02-21,9.27,.332E+04
2001-02-22,9.06,.319E+04
2001-02-23,8.91,.305E+04
2001-02-24,9.77,.351E+04
2001-02-25,4.62,32.1
2001-02-26,4.68,44.8
2001-02-27,4.73,45.7
2001-02-28,4.80,47.6
2001-03-01,90.8,.404E+05
2001-03-02,14.7,.541E+04
2001-03-03,5.05,94.4
2001-03-04,42.6,.203E+05
2001-03-05,4.29,20.1
2001-03-06,4.19,18.6
2001-03-07,4.27,20.3
2001-03-08,22.1,.947E+04
2001-03-09,4.36,26.0
2001-03-10,2.38,19.6
2001-03-11,2.54,34.3
2001-03-12,2.70,63.3
2001-03-13,2.80,65.5
2001-03-14,2.86,85.0
2001-03-15,2.96,123.
2001-03-16,3.19,191.
2001-03-17,8.30,.290E+04
2001-03-18,31.0,.152E+05
2001-03-19,3.57,312.
2001-03-20,3.70,386.
2001-03-21,3.50,466.
2001-03-22,3.67,520.
2001-03-23,3.83,642.
2001-03-24,3.89,660.
2001-03-25,10.8,.462E+04
2001-03-26,76.9,.354E+05
2001-03-27,4.39,918.
2001-03-28,4.20,.100E+04
2001-03-29,81.2,.371E+05
2001-03-30,4.54,.119E+04
2001-03-31,18.0,.869E+04
2001-04-01,20.7,.103E+05
2001-04-02,4.90,.137E+04
2001-04-03,8.39,.341E+04
2001-04-04,5.41,.163E+04
2001-04-05,5.31,.154E+04
2001-04-06,5.50,.165E+04
2001-04-07,5.71,.179E+04
2001-04-08,5.78,.183E+04
2001-04-09,5.89,.186E+04
2001-04-10,6.03,.192E+04
2001-04-11,6.17,.205E+04
2001-04-12,6.22,.207E+04
2001-04-13,6.38,.212E+04
2001-04-14,6.49,.216E+04
2001-04-15,6.66,.226E+04
2001-04-16,6.77,.231E+04
2001-04-17,6.82,.237E+04
2001-04-18,6.98,.237E+04
2001-04-19,13.9,.638E+04
2001-04-20,7.17,.253E+04
2001-04-21,7.46,.262E+04
2001-04-22,7.45,.261E+04
2001-04-23,7.47,.264E+04
2001-04-24,7.59,.269E+04
2001-04-25,14.6,.669E+04
2001-04-26,7.79,.279E+04
2001-04-27,7.78,.279E+04
2001-04-28,7.86,.283E+04
2001-04-29,8.20,.304E+04
2001-04-30,85.0,.389E+05
2001-05-01,8.33,.304E+04
2001-05-02,8.49,.307E+04
2001-05-03,35.9,.179E+05
2001-05-04,8.40,.306E+04
2001-05-05,8.36,.305E+04
2001-05-06,8.31,.292E+04
2001-05-07,8.36,.306E+04
2001-05-08,24.3,.116E+05
